topic,relative_day,average_CAR,average_abnormal_return,n_events
accounting_financial_reporting,-94,-0.001492474394974593,0.0006610751375198326,122
accounting_financial_reporting,-93,-0.0015326531291903931,-4.0178734215800185e-05,122
accounting_financial_reporting,-92,-0.000617610251885195,0.0009150428773051982,122
accounting_financial_reporting,-91,-0.0022247283084849147,-0.0016071180565997197,122
accounting_financial_reporting,-90,0.0011606278074868799,0.0033853561159717946,122
accounting_financial_reporting,-89,0.002938925941207101,0.0017782981337202213,122
accounting_financial_reporting,-88,-0.00013730595908994017,-0.0030762319002970414,122
accounting_financial_reporting,-87,-0.00024116429777530722,-0.00010385833868536703,122
accounting_financial_reporting,-86,-0.001695497647385808,-0.0014543333496105006,122
accounting_financial_reporting,-85,-0.0017167775281019498,-2.1279880716141825e-05,122
accounting_financial_reporting,-84,-0.0017837974739067209,-6.701994580477115e-05,122
accounting_financial_reporting,-83,-0.0008537884682293603,0.0009300090056773606,122
accounting_financial_reporting,-82,-1.6337176688528774e-05,0.0008374512915408315,122
accounting_financial_reporting,-81,-0.0006124949963769649,-0.0005961578196884361,122
accounting_financial_reporting,-80,0.0009952246397207207,0.0016077196360976857,122
accounting_financial_reporting,-79,0.003277174768314207,0.002281950128593486,122
accounting_financial_reporting,-78,0.0034495356774985383,0.00017236090918433146,122
accounting_financial_reporting,-77,0.0032113209396048706,-0.00023821473789366763,122
accounting_financial_reporting,-76,0.0021764178907674563,-0.0010349030488374146,122
accounting_financial_reporting,-75,0.0015906459838823544,-0.0005857719068851015,122
accounting_financial_reporting,-74,0.0009631469647724683,-0.0006274990191098862,122
accounting_financial_reporting,-73,-0.000763860974203636,-0.0017270079389761044,122
accounting_financial_reporting,-72,-0.0037278820780460215,-0.0029640211038423855,123
accounting_financial_reporting,-71,-0.003008874071304597,0.0007190080067414243,123
accounting_financial_reporting,-70,-0.0013137044202258317,0.0016951696510787654,123
accounting_financial_reporting,-69,-0.0033363299505520154,-0.0020226255303261837,123
accounting_financial_reporting,-68,-0.004375001827407152,-0.0010386718768551368,123
accounting_financial_reporting,-67,-0.005927582923957599,-0.0015525810965504462,123
accounting_financial_reporting,-66,-0.005823277205653633,0.0001043057183039652,123
accounting_financial_reporting,-65,-0.003017244157254343,0.0028060330483992905,123
accounting_financial_reporting,-64,-0.003749027412416829,-0.0007317832551624858,123
