ticker,start_date,end_date,trading_days,mean_return,return_volatility,is_benchmark,is_event_ticker
FOX,2019-03-14,2026-03-17,1762,0.00042149799333080146,0.01969475897592987,False,True
GIS,2015-09-09,2026-03-17,2645,8.852574308919202e-05,0.013713833197499222,False,True
GLW,2015-09-09,2026-03-17,2645,0.001053060444018858,0.0198977823498093,False,True
HBAN,2015-09-09,2026-03-17,2645,0.000525476121119197,0.021586080996826233,False,True
HLT,2015-09-09,2026-03-17,2645,0.0008517547067987025,0.018290808482228076,False,True
IFF,2015-09-09,2026-03-17,2645,0.00011020011401459778,0.01859871530883183,False,True
ISRG,2015-09-09,2026-03-17,2645,0.0010014807628716598,0.019980322172335318,False,True
ITW,2015-09-09,2026-03-17,2645,0.0006405748062498053,0.014811325733907529,False,True
KEYS,2015-09-09,2026-03-17,2645,0.001018613087465796,0.020146962318802048,False,True
KIM,2015-09-09,2026-03-17,2645,0.0004245701285196246,0.021060504772679556,False,True
KMI,2015-09-09,2026-03-17,2645,0.0004182415491901896,0.01947626657519692,False,True
LEN,2015-09-09,2026-03-17,2645,0.0005570510501487556,0.023136001386569027,False,True
LHX,2015-09-09,2026-03-17,2645,0.0007990903333719469,0.015966193303823123,False,True
LULU,2015-09-09,2026-03-17,2645,0.0006660774662826982,0.025578473409457087,False,True
LVS,2015-09-09,2026-03-17,2645,0.000457310525156823,0.024633289960060988,False,True
MAR,2015-09-09,2026-03-17,2645,0.0008195796097032535,0.020591077391095614,False,True
MDLZ,2015-09-09,2026-03-17,2645,0.00029419962716923265,0.013530502576809217,False,True
MET,2015-09-09,2026-03-17,2645,0.0004941381850014638,0.01921290697206251,False,True
META,2015-09-09,2026-03-17,2645,0.0010280975713724582,0.024043104162586044,False,True
MNST,2015-09-09,2026-03-17,2645,0.0006022986999087095,0.01672168986822081,False,True
MRSH,2015-09-09,2026-03-17,2645,0.0005875693768644107,0.01288584908794974,False,True
MS,2015-09-09,2026-03-17,2645,0.0008880742346798208,0.02000805447913995,False,True
MTB,2015-09-09,2026-03-17,2645,0.0005147271176213016,0.02054547074010377,False,True
MU,2015-09-09,2026-03-17,2645,0.0017213806955079325,0.030813276820411687,False,True
NCLH,2015-09-09,2026-03-17,2645,0.00033465102784249696,0.03826077923116598,False,True
NOW,2015-09-09,2026-03-17,2645,0.0010986542907003827,0.0250596051918286,False,True
NRG,2015-09-09,2026-03-17,2645,0.0012251244161172374,0.025839592514215703,False,True
OKE,2015-09-09,2026-03-17,2645,0.0009238483425481149,0.025920846570518668,False,True
OXY,2015-09-09,2026-03-17,2645,0.0005223748119024532,0.030149807747162544,False,True
PODD,2015-09-09,2026-03-17,2645,0.0011336092095529944,0.02665803722894644,False,True
RCL,2015-09-09,2026-03-17,2645,0.0010180994092561196,0.033077375473471046,False,True
RJF,2015-09-09,2026-03-17,2645,0.0007864495498883137,0.019594658906374334,False,True
RMD,2015-09-09,2026-03-17,2645,0.00080824513577634,0.019536371487042358,False,True
ROST,2015-09-09,2026-03-17,2645,0.0007788457665372782,0.019787549319300334,False,True
SBUX,2015-09-09,2026-03-17,2645,0.00046282657644035053,0.018238732535780695,False,True
SO,2015-09-09,2026-03-17,2645,0.0005737778526957425,0.013618149413079553,False,True
SOLV,2024-03-27,2026-03-17,494,-0.00010275264529061484,0.02035105735173318,False,True
STE,2015-09-09,2026-03-17,2645,0.0006300840317770575,0.015915200479190757,False,True
TAP,2015-09-09,2026-03-17,2645,7.73651138236591e-05,0.01800065488615341,False,True
TFC,2015-09-09,2026-03-17,2645,0.00045130613305645627,0.02090926636404318,False,True
TPL,2015-09-09,2026-03-17,2645,0.0018245440325281642,0.028999548351884955,False,True
TPR,2015-09-09,2026-03-17,2645,0.0010820946983212047,0.027405233421877246,False,True
TYL,2015-09-09,2026-03-17,2645,0.0005128005001267772,0.01851489670988828,False,True
VRSK,2015-09-09,2026-03-17,2645,0.0005084157012061918,0.0148682069701167,False,True
VRTX,2015-09-09,2026-03-17,2645,0.0007030789182767617,0.02153285976658347,False,True
VST,2016-10-06,2026-03-17,2373,0.001481275895256771,0.026422103302780064,False,True
VTR,2015-09-09,2026-03-17,2645,0.0006011231578852359,0.021652373409580507,False,True
WM,2015-09-09,2026-03-17,2645,0.0007325428309039884,0.012101756194606385,False,True
WMT,2015-09-09,2026-03-17,2645,0.000821031511377103,0.013714040254829668,False,True
WRB,2015-09-09,2026-03-17,2645,0.0007526284810050063,0.015205493217123984,False,True
WY,2015-09-09,2026-03-17,2645,0.00030988588143966337,0.0200985749965643,False,True
WYNN,2015-09-09,2026-03-17,2645,0.000641032104437598,0.030661960803504886,False,True
