event_id,event_time_status,n_event_time_rows
LEN_000000000017044289,ok,211
LEN_000000000018014217,ok,211
LEN_000000000019007876,ok,211
LEN_000000000022001608,ok,211
LHX_000000000016094323,ok,211
LHX_000000000019001516,ok,211
LHX_000000000020000514,ok,211
LHX_000000000023014012,ok,211
LULU_000000000017023016,ok,211
LVS_000000000018025693,ok,211
LVS_999999999719006421,ok,211
LVS_000000000021011216,ok,211
LVS_000000000022005802,ok,211
LVS_000000000023002902,ok,211
MAR_000000000016061961,ok,211
MAR_000000000017014595,ok,211
MAR_000000000021003413,ok,211
MAR_000000000023003820,ok,211
MDLZ_000000000016094772,ok,211
MDLZ_000000000019004694,ok,211
MDLZ_000000000022009590,ok,211
MET_000000000016095584,ok,211
MET_000000000017042540,ok,211
MET_000000000022010452,ok,211
META_000000000016073605,ok,211
META_000000000021011466,ok,211
META_000000000022010750,ok,211
META_000000000023006892,ok,211
MNST_000000000017011057,ok,211
MNST_000000000018014626,ok,211
MNST_000000000020008892,ok,211
MNST_000000000021011411,ok,211
MNST_000000000023006157,ok,211
MNST_000000000024005447,ok,211
MRSH_000000000016085137,ok,211
MRSH_000000000022010337,ok,211
MRSH_000000000023002612,ok,211
MS_000000000020012228,ok,211
MS_000000000024009288,ok,211
MTB_000000000016098728,ok,211
MTB_000000000021004213,ok,211
MU_000000000017003380,ok,211
MU_000000000018019260,ok,211
NCLH_000000000016066278,ok,211
NCLH_000000000017009157,ok,211
NCLH_000000000018026944,ok,211
NCLH_000000000020006459,ok,211
NOW_000000000019011955,ok,211
NOW_000000000022009615,ok,211
NOW_000000000023003372,ok,211
NOW_000000000023010177,ok,211
NOW_000000000025004634,ok,211
NRG_000000000016075770,ok,211
NRG_000000000018022533,ok,211
NRG_000000000019010303,ok,211
NRG_000000000021010799,ok,211
NRG_000000000024010545,ok,211
OKE_000000000016063611,ok,211
OKE_000000000017012000,ok,211
OKE_000000000022009320,ok,211
OKE_000000000023006899,ok,211
OKE_000000000024013926,ok,211
OXY_000000000016081784,ok,211
OXY_000000000017021746,ok,211
OXY_000000000019010556,ok,211
OXY_000000000020005467,ok,211
OXY_000000000024004826,ok,211
PODD_000000000016082809,ok,211
PODD_000000000022004058,ok,211
RCL_000000000016072737,ok,211
RCL_000000000017013501,ok,211
RCL_000000000019007772,ok,211
RCL_000000000021011331,ok,211
RJF_000000000019005386,ok,211
RJF_000000000021015173,ok,211
RMD_000000000016102723,ok,211
RMD_000000000021002318,ok,211
ROST_000000000025006364,ok,211
SBUX_000000000019008093,ok,211
SBUX_000000000020002630,ok,211
